,Release date,Artist,Album,Genre,Label,Producer
0,May 2 2016,BTS,The Most Beautiful Moment in Life: Young Forever,"Hip hop, dance-pop, R&B, K-pop",Big Hit Entertainment,Pdogg
1,May 5 2016,Alex Lloyd,Acoustica,Acoustic,Liberation,
2,May 6 2016,Anohni,Hopelessness,"Electronic, experimental, synth-pop, EDM","Secretly Canadian, Rough Trade","Anohni, Hudson Mohawke, Oneohtrix Point Never, Paul Corley"
3,May 6 2016,Beverly,The Blue Swell,,Kanine Records,
4,May 6 2016,"Carla Bley, Andy Sheppard, and Steve Swallow",Andando el Tiempo,Jazz,ECM,Manfred Eicher
5,May 6 2016,Cuong Vu Trio meets Pat Metheny,Cuong Vu Trio Meets Pat Metheny,Jazz,Nonesuch,Cuong Vu
6,May 6 2016,Cyndi Lauper,Detour,"Country, country rock, country blues",Sire,"Cyndi Lauper, Seymour Stein, Tony Brown"
7,May 6 2016,Death Grips,Bottomless Pit,"Experimental hip hop, digital hardcore",Third Worlds,Death Grips
8,May 6 2016,Jack DeJohnette / Ravi Coltrane / Matthew Garrison,In Movement,Jazz,ECM,Manfred Eicher
9,May 6 2016,James Blake,The Colour in Anything,"Electronic pop, R&B, soul","Polydor, 1-800 Dinosaur","James Blake, Justin Vernon, Rick Rubin"
10,May 6 2016,Jean Michel Jarre,Electronica 2: The Heart of Noise,Electronic music,Sony Music,Jean Michel Jarre
11,May 6 2016,JMSN,It Is,,,
12,May 6 2016,Julianna Barwick,Will,"Ambient, experimental",Dead Oceans,Julianna Barwick
13,May 6 2016,Kate Ceberano,Anthology,"Pop, soul, jazz, synth-pop",ABC Music,"Allen Friedman, Ashley Cadell, Ben Balfour, Fred Maher, Ian Curnow, Lee Rogers, Mark Goldenberg, Martyn Webster, Mike Shipley, Nick Launay, Phil Ceberano, Phil Harding, Raymond Jones, Steve Scanlon"
14,May 6 2016,Kaytranada,99.9%,Electronic,"XL, HW&W",Kaytranada
15,May 6 2016,Keith Urban,Ripcord,"Pop, country pop","Hit Red, Capitol Nashville","busbee, Dann Huff, Greg Wells, Jeff Bhasker, Johnny Price, Keith Urban, Nathan Chapman, Nile Rodgers, Nitzan Kaikov, Tyler Johnson"
16,May 6 2016,Mike Posner,"At Night, Alone.",Pop,Island,"Adam Friedman, Brian Kierulf, Dave Katz, Jackson Foote, Jordan Orvosh, JordanXL, Kyle Tree, Martin Terefe, MdL, Mike Posner, Robopop, SeeB"
17,May 6 2016,Pat Metheny,The Unity Sessions,Jazz,Nonesuch,"Pat Metheny, Steve Rodby"
18,May 6 2016,Rittz,Top of the Line,Hip hop,Strange Music,"Best Kept Secret, Gabriel ""Wonder"" Arillo, Heartbeatz, Kato, Matic Lee, Mike Harnett, Seven"
19,May 6 2016,The Screaming Jets,Chrome,"Rock, pub rock","Dinner for Wolves, Shine On",Steve James
20,May 6 2016,Thalía,Latina,"Latin pop, reggaeton, dance-pop, pop rock",Sony Music Latin,"Andres Torres, Armando Avila, Chris Grayson, Cory Rooney, Isaac Delgado Jr., Khateeb M. Muhammad, Mauricio Rengifo, Sergio George, Thalía, Tommy Mottola"
21,May 6 2016,Tim Garland,One,Jazz,Edition,Tim Garland
22,May 6 2016,Vektor,Terminal Redux,Thrash metal,Earache,"Vektor, Byron Filson"
23,May 6 2016,White Lung,Paradise,Punk rock,Domino,Lars Stalfors
24,May 8 2016,Radiohead,A Moon Shaped Pool,"Art rock, electronic",XL,"Nigel Godrich, Radiohead"
25,May 13 2016,3OH!3,Night Sports,"Pop, trap, hip hop","Fueled by Ramen, Atlantic, Photo Finish",3OH!3
