,Release date,Artist,Album,Genre,Label,Producer
0,October 5 2016,SHINee,1 of 1,"K-pop, new jack swing","S.M. Entertainment, KT Music",
1,October 6 2016,Despina Vandi,Afti Ine I Diafora Mas,"Pop, pop rock, laïko",Heaven Music,Yannis Doxas
2,October 7 2016,Alter Bridge,The Last Hero,"Alternative metal, hard rock, heavy metal, progressive metal","Caroline, Napalm","Ben Grosse, Michael Baskette"
3,October 7 2016,Archive,The False Foundation,,"Dangervisit, PIAS",
4,October 7 2016,Barry Gibb,In the Now,"Rock, country",Columbia,"Barry Gibb, John Merchant"
5,October 7 2016,Blaudzun,Jupiter,Indie pop,"Glitterhouse, V2",
6,October 7 2016,Colbie Caillat,The Malibu Sessions,Pop,PlummyLou Records,
7,October 7 2016,Dance Gavin Dance,Mothership,"Post-hardcore, experimental rock",Rise,Kris Crummett
8,October 7 2016,Daya,"Sit Still, Look Pretty","Synth-pop, electropop","Z Entertainment, Artbeatz, RED Distribution","Gino Barletta, Jamie P. Velez, Jonas Jeberg, Lukas Loules, Omega, Scott Bruzenak, Steven Zap, Teal Douville"
9,October 7 2016,Ennio Morricone,Morricone 60,,Decca,
10,October 7 2016,Eric Benét,Eric Benét,"R&B, neo soul, jazz","Jordan House, BMG",
11,October 7 2016,Feeder,All Bright Electric,"Alternative rock, post-grunge, indie rock, art rock, post-punk",Cooking Vinyl,"Feeder, Tim Roe, Todd Kinnon"
12,October 7 2016,Glen Phillips,Swallowed by the New,,,
13,October 7 2016,Goat,Requiem,"Alternative rock, psychedelic","Sub Pop, Rocket Recordings",
14,October 7 2016,Green Day,Revolution Radio,"Punk rock, pop punk, alternative rock",Reprise,Green Day
15,October 7 2016,Joyce Manor,Cody,"Emo, pop punk, indie rock, punk rock",Epitaph,Rob Schnapf
16,October 7 2016,Kaiser Chiefs,Stay Together,"Indie rock, Britpop","Polydor, B-Unique","Kaiser Chiefs, Brian Higgins"
17,October 7 2016,Kate Ceberano,The Monash Sessions,Jazz,"Jazzhead, MGM Distribution",James Mustafa
18,October 7 2016,Lizzo,Coconut Oil,,Atlantic,"Ricky Reed, Christian Rich, Dubbel Dutch"
19,October 7 2016,Loretta Lynn,White Christmas Blue,Country,Legacy,
20,October 7 2016,The Marcus King Band,The Marcus King Band,"Rock, blues",Fantasy,Warren Haynes
21,October 7 2016,Melissa Etheridge,MEmphis Rock and Soul,"Rock, Memphis soul",Stax,
22,October 7 2016,Meshuggah,The Violent Sleep of Reason,"Extreme metal, progressive metal, avant-garde metal",Nuclear Blast,"Meshuggah, Tue Madsen"
23,October 7 2016,NOFX,First Ditch Effort,Punk rock,Fat Wreck Chords,Cameron Webb
24,October 7 2016,Norah Jones,Day Breaks,"Jazz, pop rock",Blue Note,"Eli Wolf, Norah Jones, Sarah Oda"
25,October 7 2016,"Olivia Newton-John, Beth Nielsen Chapman and Amy Sky",Liv On,,Sony Music Australia,
26,October 7 2016,OneRepublic,Oh My My,"Pop, pop rock","Mosley, Interscope","Benny Blanco, Brandon Collins, Brent Kutzle, Cassius, Katalyst, MojaveGhst, Noel Zancanella, Ryan Tedder, Steve Wilmot, Zach Skelton"
27,October 7 2016,Phantogram,Three,Electronic,Republic,Ricky Reed
28,October 7 2016,Placebo,Life's What You Make It,Alternative rock,Rise,
29,October 7 2016,Placebo,A Place for Us to Dream,Alternative rock,Rise,"Adam Noble, Brad Wood, Dare Mason, David Bottrill, Dimitri Tikovoï, Jim Abbiss, Paul Corkett, Phil Vinall, Placebo, Steve Osborne"
30,October 7 2016,Sebastian Kole,Soup,Pop,Motown,
31,October 7 2016,Set It Off,Upside Down,,"Rude, Equal Vision","Brandon Paddock, Erik Ron, Mike Green"
32,October 7 2016,Sonata Arctica,The Ninth Hour,"Symphonic metal, power metal, progressive metal",Nuclear Blast,Sonata Arctica
33,October 7 2016,Sum 41,13 Voices,"Alternative metal, alternative rock, punk rock, pop punk",Hopeless,Deryck Whibley
34,October 7 2016,White Lies,Friends,Indie rock,BMG,White Lies
35,October 10 2016,BTS,Wings,"Hip hop, EDM, R&B, trap",Big Hit,"BTS, Chris 'Tricky' Stewart, DOCSKIM, James Reynolds, Josh Wilkinson, Kevin Moore, Medor J. Pierre, Miss Kay, Pdogg, Philtre, Primary, Rap Monster, Sam Klempner, Slow Rabbit, Suga, Tony Esterly"
36,October 13 2016,Aminata,Red Moon,Pop,Aminata music,
37,October 14 2016,The Answer,Solas,,,"Andy Bradfield, Avril Macintosh"
38,October 14 2016,Bell X1,Arms,Rock,BellyUp Records,Bell X1
39,October 14 2016,Beth Hart,Fire on the Floor,Blues rock,Provogue,
40,October 14 2016,Chris Young,It Must Be Christmas,"Country, Christmas",RCA Nashville,"Chris Young, Corey Crowder"
41,October 14 2016,Conor Oberst,Ruminations,Indie rock,Nonesuch,Conor Oberst
42,October 14 2016,CupcakKe,Audacious,Hip hop,,
43,October 14 2016,Darkthrone,Arctic Thunder,Black metal,Peaceville,Darkthrone
44,October 14 2016,Dave Holland,Aziza,Jazz,Dare2 Records,"Dave Holland, Louise Holland"
45,October 14 2016,David Bromberg Band,"The Blues, the Whole Blues, and Nothing But the Blues",Blues,Red House,Larry Campbell
46,October 14 2016,The Dillinger Escape Plan,Dissociation,"Mathcore, experimental rock","Party Smasher, Cooking Vinyl",Steve Evetts
47,October 14 2016,Donny McCaslin,Beyond Now,Jazz,Motéma Music,
48,October 14 2016,French Montana,MC4,Hip hop,"Coke Boys, Bad Boy, Maybach Music Group, Epic","The Alchemist, The ANMLS, Ben Billions, Bizzy, CritaCal, Cubeatz, Danny Boy Styles, Detail, DJ Khaled, DJ Khalil, Earl and E, Harry Fraud, iLLA, LJ Milan, Maaly Raw, Masar, The Mekanics, Murda Beatz, Rick Steel, Sauce Lord Rich, Sidney Swift, The Superiors"
49,October 14 2016,The Game,1992,"West Coast hip hop, Gangsta rap","Blood Money Entertainment, eOne","Bongo, The Chemists Create, DJ Quik, Drumz & Rosez, Cool & Dre, JP Did This 1, Phonix, Sap, Scott Storch, Terrace Martin, WLPWR"
50,October 14 2016,Harald Lassen,Rainbow Session,Jazz,Hagen Recordings,Harald Lassen
51,October 14 2016,Hillsong Worship,Let There Be Light,Worship,"Hillsong, Sparrow, Capitol",Michael Guy Chislett
52,October 14 2016,Jeff Rosenstock,Worry.,"Punk rock, indie rock",SideOneDummy,Jack Shirley
53,October 14 2016,Jessica Mauboy,The Secret Daughter: Songs from the Original TV Series,,Sony Music Australia,
54,October 14 2016,JoJo,Mad Love,R&B,Atlantic,"ADP, Josh Monroy, JUSSIFER, Matt Friedman, Michael Kintish, MNEK, Oscar Holter, Rock Mafia, Ryan Gray Hawken, SeventyEight, TJ Routon"
55,October 14 2016,Julien Doré,&,,"Columbia, Sony BMG",
56,October 14 2016,Katie Melua featuring Gori Women's Choir,In Winter,,"BMG Chrysalis, 8Ball Records","Katie Melua, Adam 'Cecil' Bartlett"
57,October 14 2016,Kings of Leon,Walls,Rock,RCA,Markus Dravs
58,October 14 2016,Lisa Mitchell,Warriors,Pop,Warner Music Australia,Eric Dubowsky
59,October 14 2016,The Naked and Famous,Simple Forms,Indie electronic,"Somewhat Damaged, Kobalt Label Services","The Naked and Famous, Sombear"
60,October 14 2016,The Orb,"COW / Chill Out, World!","Electronica, dub, IDM, chill-out",Kompakt,The Orb
61,October 14 2016,Phil Collins,The Singles,,Rhino,
62,October 14 2016,Rebecca Ferguson,Superwoman,R&B,"Syco, Sony Music","Matt Prime, Phil Cook, Troy Miller"
63,October 14 2016,Sabrina Carpenter,EVOLution,Pop,Hollywood,"Daylight, Halatrax, Ido Zmishlany, Jimmy Robbins, NONFICTION, Rob Persaud, Ryan Ogren, Steve Mac"
64,October 14 2016,Tom Chaplin,The Wave,Pop,Island,Matt Hales
65,October 14 2016,Two Door Cinema Club,Gameshow,Indie rock,Parlophone,Jacknife Lee
66,October 14 2016,Two Tongues,Two Tongues Two,,Equal Vision,
67,October 21 2016,Agnes Obel,Citizen of Glass,,PIAS,
68,October 21 2016,Amaranthe,Maximalism,"Metalcore, power metal, glam metal",Spinefarm,"Elize Ryd, Jacob Hansen, Olof Mörck"
69,October 21 2016,American Football,American Football,Rock,Polyvinyl,"American Football, Jason Cupp"
70,October 21 2016,Bleeker,Erase You,Alternative rock,Five Seven Music,
71,October 21 2016,David Crosby,Lighthouse,Rock,GroundUP Music,
72,October 21 2016,The Dean Ween Group,The Deaner Album,,ATO,Dean Ween
73,October 21 2016,DRAM,Big Baby D.R.A.M.,Hip hop,"Atlantic, Empire","The ANMLS, Ben Billions, Cardo, Charlie Heat, Chris McClenney, Dan Stuckie, Donnie Trumpet, Gabe Niles, J Gramm, Karl Rubin, LosHendrix, Mike Dean, Pablo Dylan, Ricky Reed, Roofeeo, Rogét Chahayed, SamTrax, Yung Exclusive"
74,October 21 2016,Elvis Presley,The Wonder of You,Orchestral pop,"RCA, Legacy","Don Reedman, Nick Patrick, Priscilla Presley"
75,October 21 2016,Far East Movement,Identity,"EDM, pop","Transparent Agency, Spinnin', eOne","Autolaser, Cimo Frankel, Cory Emeny, Far East Movement, Gill Chang, King Chain, Marshmello, MIKNNA, MNEK, No Riddim, Rik Annema, Thomas Helsloot"
76,October 21 2016,I Prevail,Lifelines,"Post-hardcore, metalcore, alternative rock",Fearless,"BJ Perry, John A. Pregler"
77,October 21 2016,Jimmy Eat World,Integrity Blues,Rock,RCA,Justin Meldal-Johnsen
78,October 21 2016,Joe Budden,Rage & The Machine,Hip hop,"Mood Muzik Entertainment, EMPIRE",AraabMuzik
79,October 21 2016,Korn,The Serenity of Suffering,Nu metal,Roadrunner,Nick Raskulinecz
80,October 21 2016,Lady Gaga,Joanne,"Soft rock, dance-pop",Interscope,"BloodPop, Emile Haynie, Jeff Bhasker, Josh Homme, Kevin Parker, Lady Gaga, Mark Ronson, RedOne"
81,October 21 2016,Leonard Cohen,You Want It Darker,"Folk, soft rock",Columbia,"Leonard Cohen, Adam Cohen, Patrick Leonard"
82,October 21 2016,Los Mismos,20 Aniversario,Latin,Discos America,
83,October 21 2016,Melanie C,Version of Me,"Pop, indie, alternative",Red Girl,"Paul Boddy, Dele Ladimeji, SOS Music, Tom Wilding"
84,October 21 2016,Michael Bublé,Nobody but Me,"Traditional pop, vocal jazz",Reprise,"Alan Chang, Jason ""Spicy G"" Goldman, Johan Carlsson, Michael Bublé, The Monsters and the Strangerz"
85,October 21 2016,Pentatonix,A Pentatonix Christmas,"A cappella, Christmas",RCA,"Alex Green, Andrew Kesler, Ben Bram, PTX"
86,October 21 2016,The Pretenders,Alone,Rock,BMG,Dan Auerbach
87,October 21 2016,The Pretty Reckless,Who You Selling For,Rock,Razor & Tie,Kato Khandwala
88,October 21 2016,R. Kelly,12 Nights of Christmas,"R&B, soul",RCA,R. Kelly
89,October 21 2016,The Radio Dept.,Running Out of Love,"Dream pop, indie pop, electronic",Labrador,
90,October 21 2016,Rascal Flatts,The Greatest Gift of All,"Country, Christmas",Big Machine,
91,October 21 2016,Saint Motel,saintmotelevision,Indie pop,"Elektra, On The Records, Parlophone",
92,October 21 2016,Santana,"Santana IV: Live at the House of Blues, Las Vegas",Latin rock,Eagle Rock,
93,October 21 2016,Sarah McLachlan,Wonderland,Christmas,Verve,Pierre Marchand
94,October 21 2016,Status Quo,Aquostic II: That's a Fact!,Acoustic rock,Fourth Chord Records,"Bolland & Bolland, Damon Lyon-Shaw, Francis Rossi, John Eden, John Schroeder, Mike Paxman, Pip Williams, Status Quo"
95,October 21 2016,Tim Bendzko,Immer noch Mensch,"Pop, pop rock","Columbia, Sony Music",
96,October 26 2016,Arashi,Are You Happy?,"Pop, R&B",J Storm,Julie K.
97,October 28 2016,Avenged Sevenfold,The Stage,"Heavy metal, thrash metal, progressive metal",Capitol,Joe Barresi
98,October 28 2016,Black M,Éternel insatisfait,"French hip hop, French pop","Wati B, Sony Music, Jive, Epic","Barack Adama, Black M, Boaz van de Beatz, Dadju, Dany Synthé, Diplo, Elji Beatzkilla, FB Cool, Hcue, Jo A, Manu Dibango, Philip Meckseper, Raphael Koua, Renaud Rebillaud, Shakira, Skalp, Supa Dups, Zaho"
99,October 28 2016,Blue Rodeo,1000 Arms,Country rock,Warner Music Canada,"Blue Rodeo, Tim Vesely"
100,October 28 2016,Courteeners,Mapping the Rendezvous,Indie rock,Ignition Records,
101,October 28 2016,CRX,New Skin,"Hard rock, stoner rock, industrial rock, power pop",Columbia,Josh Homme
102,October 28 2016,Empire of the Sun,Two Vines,"EDM, synth-pop, electronic, new wave","Astralwerks, Capitol","Empire of the Sun, Peter Mayes, Donnie Sloan"
103,October 28 2016,Giorgia,Oronero,,"Microphonica, Sony Music Italy",Michele Canova
104,October 28 2016,Helmet,Dead to the World,Alternative metal,earMUSIC,Page Hamilton
105,October 28 2016,James Arthur,Back from the Edge,Pop,Columbia,"Adam Argyle, Alex Beitzke, Bradley Spence, Jeeve, Jonathan Quarmby, Pete ""Boxsta"" Martin, Red Triangle, Steve Solomon"
106,October 28 2016,Jeezy,Trap or Die 3,"Hip hop, trap","Def Jam, CTE World","30 Roc, Big Korey, D. Rich, DJ Montay, Doda 1K, Kenoe, Mike Will Made It, P.C., PD, S-X, Shawty Redd"
107,October 28 2016,Jennifer Nettles,To Celebrate Christmas,"Country, Christmas",Big Machine,Julian Raymond
108,October 28 2016,Kacey Musgraves,A Very Kacey Christmas,"Country, Christmas",Mercury Nashville,"Kacey Musgraves, Kyle Ryan, Misa Arriaga"
109,October 28 2016,Kate Voegele,Canyonlands,,,
110,October 28 2016,Kenny Chesney,Cosmic Hallelujah,Country,"Blue Chair, Columbia Nashville","Buddy Cannon, Kenny Chesney"
111,October 28 2016,LeAnn Rimes,Remnants,"Country, rock, country pop",Sony Music,"Darrell Brown, John Hume, LeAnn Rimes, Mark Batson, Niko Bolas, Steve Jordan"
112,October 28 2016,Madness,Can't Touch Us Now,"Ska, pop, reggae",Lucky 7,"Clive Langer, Liam Watson"
113,October 28 2016,Maty Noyes,Noyes Complaint,,Republic,"William Wiik Larsen, Big Taste, Gladius"
114,October 28 2016,Miniature Tigers,I Dreamt I Was a Cowboy,Indie pop,,Charlie Brand
115,October 28 2016,Rachael Sage,Choreographic,,,
116,October 28 2016,Testament,Brotherhood of the Snake,Thrash metal,Nuclear Blast,Juan Urteaga
117,October 28 2016,Tkay Maidza,Tkay,"Synth-pop, hip hop, grime, witch house","Downtown, Interscope","Christoph Andersson, Dan Farber, Dann Hume, Dre Skull, Friend Within, King Henry, Lewis Cancut, LK McKay, Noah Breakfast, Salva, Stefan Gräslund, What So Not"
118,October 28 2016,Tove Lo,Lady Wood,"Electropop, synth-pop, dance-pop, tech house",Island,"Ali Payami, Chords, Hyperbits, Ilya Salmanzadeh, Joel Little, The Knocks, Oscar Holter, OzGo, Rickard Gorranson, The Struts"
