,Release date,Artist,Album,Genre,Label,Producer
0,December 1 2017,Andy Grammer,The Good Parts,,,
1,December 1 2017,Chris Stapleton,From A Room: Volume 2,"Country, Southern rock, Southern soul, Americana",Mercury Nashville,"Dave Cobb, Chris Stapleton"
2,December 1 2017,Danielle Bradbery,I Don't Believe We've Met,Country pop,Big Machine,"Alysa Vanderheym, Afterhrs, Jason Gantt, Josh Kerr, Julian Bunetta, Sam Ellis"
3,December 1 2017,Five Finger Death Punch,A Decade of Destruction,,"Prospect Park, Eleven Seven",
4,December 1 2017,Jovanotti,"Oh, vita!",,Universal Music,Rick Rubin
5,December 1 2017,Miguel,War & Leisure,"R&B, psychedelic funk, pop","Bystorm, RCA","Arden ""Keyz"" Altino, David Andrew Sitek, Detail, Eyal Federman, Happy Perez, Jeff Bhasker, Jerry ""Wonda"" Duplessis, Mark Pitts, Miguel, Raphael Saadiq, Salaam Remi, Sidney Swift, Sir Dylan, Steve Mostyn, Wayne Barrow"
6,December 1 2017,Morbid Angel,Kingdoms Disdained,Death metal,"Silver Lining Music, UDR Music",Erik Rutan
7,December 1 2017,U2,Songs of Experience,Pop rock,"Island, Interscope","Jacknife Lee, Ryan Tedder, Steve Lillywhite, Andy Barlow, Jolyon Thomas, Brent Kutzle, Paul Epworth, Danger Mouse, Declan Gaffney"
8,December 8 2017,Big Sean and Metro Boomin,Double or Nothing,"Hip hop, trap","GOOD Music, Def Jam, Republic, Boominati","Metro Boomin, Earlly Mac, Southside, Pi'erre Bourne"
9,December 8 2017,Diablo Swing Orchestra,Pacifisticuffs,"Avant-garde metal, swing revival, progressive metal, symphonic metal, experimental rock","Candlelight, Spinefarm",Roberto Laghi
10,December 8 2017,Juicy J,Rubba Band Business,"Hip hop, trap","Kemosabe, Columbia, Taylor Gang","Ben Billions, DannyBoyStyles, Deedotwill, G Koop, Juicy J, Lex Luger, Metro Boomin, Murda Beatz, Mike Will Made It, Rock City, Resource, Tarentino, TM88, Wiz Khalifa, YK808"
11,December 8 2017,K. Michelle,Kimberly: The People I Used to Know,"R&B, soul",Atlantic,"DJ Camper, Uforo ""Bongo ByTheWay"" Ebong, Lil' Ronnie, Daniel Bryant, Hitmaka, Ray Keys, Yung Ladd, Rock Boy Beats, Clintunez, Louis Biancaniello, DJ Harkwerk, Chuck Harmony, Eric Hudson, Darkchild, Kevin Kadish, Davy, King Midas"
12,December 8 2017,Luke Bryan,What Makes You Country,Country,Capitol Nashville,"Jeff Stevens, Jody Stevens"
13,December 8 2017,Naviband,Adnoj Darohaj,,,
14,December 8 2017,Various artists,Quality Control: Control the Streets Volume 1,Hip hop,"Quality Control, Motown, Capitol, Universal","Pierre ""Pee"" Thomas, Kevin ""Coach K"" Lee, Buddah Bless, Digital Nas, DY, Honorable C.N.O.T.E., Murda Beatz, Southside, Quavo"
15,December 8 2017,Walker Hayes,Boom,Country,Monument,Shane McAnally
16,December 15 2017,Asking Alexandria,Asking Alexandria,"Hard rock, pop, nu metal, alternative metal, heavy metal, metalcore, post-hardcore",Sumerian,Matt Good
17,December 15 2017,Brockhampton,Saturation III,Alternative hip hop,"Question Everything, Inc. Empire",Brockhampton
18,December 15 2017,Charli XCX,Pop 2,"Electronic, experimental pop, dance-pop",Asylum,"A. G. Cook, easyFun, King Henry, Lil Data, Lil Sim, Sophie, Umru, Ö"
19,December 15 2017,Eminem,Revival,Hip hop,"Shady, Aftermath, Interscope","Dr. Dre, Rick Rubin, Aalias, Alex da Kid, DJ Khalil, Emile Haynie, Eminem, Fredwreck, Frequency, Illa da Producer, Hit-Boy, Just Blaze, Luis Resto, Mark Batson, Mr. Porter, Neff-U, Rock Mafia, Scram Jones, Skylar Grey, Trevor Lawrence"
20,December 15 2017,G-Eazy,The Beautiful & Damned,Hip hop,"BPG, RVG, RCA","Allen Ritter, Boi-1da, Cardiak, Christoph Andersson, Cubeatz, Dakari, Danno, Dillon Francis, FNZ, G-Eazy, Henry Daher, Hitmaka, J Gramm, Michael Keenan, OZ, Kuya Beats, Rogét Chahayed, SG Lewis, Swish, The Futuristics"
21,December 15 2017,Linkin Park,One More Light: Live,,"Warner Bros., Machine Shop",
22,December 15 2017,N.E.R.D,No_One Ever Really Dies,"Hip hop, experimental hip hop, new wave, post-punk","i Am Other, Columbia","Chad Hugo, Kuk Harrell, Mike Larson, Pharrell Williams, Rhea Dummett"
23,December 22 2017,Gucci Mane,El Gato: The Human Glacier,"Hip hop, trap","GUWOP, 1017, Atlantic","Gucci Mane, Jake One, Southside"
24,December 31 2017,King Gizzard & the Lizard Wizard,Gumboot Soup,"Psychedelic rock, psychedelic pop, progressive rock, experimental rock",Flightless Records,Stu Mackenzie
