,Release date,Artist,Album,Genre,Label,Producer
80,April 29 2016,Drake,Views,"Hip hop, dancehall, R&B","OVO Sound, Cash Money, Young Money, Boy Better Know","Allen Ritter, AxlfolieTHC, The Beat Bully, Boi-1da, Brian Alexander Morgan, Cardiak, Cardo, Cubeatz, Daxz, Di Genius, DJ Maphorisa, Drake, Frank Dukes, Hagler, Jordan Lewis, Kanye West, Jordan Ullman, Maneesh, Metro Boomin, Murda Beatz, Nineteen85, Noah ""40"" Shebib, OZ, Ricci Riera, Sarz, Sevn Thomas, Southside, Steven ""Stwo"" Vidal, Supa Dups, Vinylz, Wizkid, Yung Exclusive"
81,April 29 2016,"Ensemble Dal Niente, Marcos Balter, and Deerhoof",Balter/Saunier,"Avant-garde, classical",New Amsterdam,
82,April 29 2016,Haken,Affinity,"Progressive metal, progressive rock",Inside Out,Jens Bogren
83,April 29 2016,Katy B,Honey,"EDM, dubstep, electronica, house, R&B","Rinse, Virgin EMI","Chris Lorenzo, Diplo, Floating Points, Four Tet, Geeneus, Hannah Wants, The HeavyTrackerz, Jamie Jones, JD. Reid, Jr. Blender, Kate Simko, Kaytranada, KDA, MssingNo, Mr. Mitch, Wilkinson"
84,April 29 2016,Less Than Jake,Live from Astoria,Ska punk,Rude,
85,April 29 2016,Martina Stoessel,Tini,Pop,Hollywood,
86,April 29 2016,Natalia,In My Blood,,Natalia Music,
87,April 29 2016,Pepper,Ohana,Alternative rock,LAW Records,
88,April 29 2016,Sixx:A.M.,Prayers for the Damned: Vol. 1,Hard rock,Eleven Seven,James Michael
89,April 29 2016,Travis,Everything at Once,"Post-Britpop, alternative rock, indie rock, soft rock",Red Telephone Box,Michael Ilbert
90,April 29 2016,Tremonti,Dust,"Thrash metal, heavy metal, alternative metal, hard rock",FRET12,"Michael ""Elvis"" Baskette"
91,April 29 2016,Zucchero,Black Cat,Blues rock,Universal,"T Bone Burnett, Brendan O'Brien, Don Was"
