,Release date,Artist,Album,Genre,Label,Producer
0,September 2 2016,Angel Olsen,My Woman,"Garage rock, dream pop, psychedelic rock, folk rock",Jagjaguwar,"Justin Raisen, Angel Olsen"
1,September 2 2016,Bushman's Revenge,"Jazz, Fritt Etter Hukommelsen",Jazz,Rune Grammofon,
2,September 2 2016,A Day to Remember,Bad Vibrations,"Metalcore, pop punk","ADTR, Epitaph","Bill Stevenson, Jason Livermore"
3,September 2 2016,Eluvium,False Readings On,,Temporary Residence,
4,September 2 2016,Freddie Mercury,Messenger of the Gods: The Singles,"Rock, pop rock, opera","Mercury, Hollywood, Universal Music","Dave Clark, David Richards, Freddie Mercury, Giorgio Moroder, Mack, Mike Moran"
5,September 2 2016,La Femme,Mystère,Psychedelic rock,Born Bad Records,
6,September 2 2016,James Vincent McMorrow,We Move,Alternative R&B,"Faction Records, Believe Recordings, Mahogany Books, Burning Rope","James Vincent McMorrow, Nineteen85, Two Inch Punch, Frank Dukes"
7,September 2 2016,Nils Petter Molvær,Buoyancy,"Jazz, electronic",Okeh,"Jo Berger Myhre, Nils Petter Molvær"
8,September 2 2016,Sophie Ellis-Bextor,Familia,"Indie pop, folk, disco","EBGB's, Red Essential",Ed Harcourt
9,September 2 2016,Till Brönner,The Good Life,Jazz,Sony Masterworks,
10,September 2 2016,Travis Scott,Birds in the Trap Sing McKnight,Hip hop,"Grand Hustle, Epic","Allen Ritter, Boi-1da, Cardo, Cashmere Cat, Cubeatz, Daxz, dF, Frank Dukes, Hit-Boy, Honorable C.N.O.T.E., Illa Jones, Mel & Mus, Mike Dean, Murda Beatz, Nav, Nisi, OZ, Rogét Chahayed, Ricci Rierra, Sy Ari Da Kid, T.I., T-Minus, TEAUXNY, TM88, Travis Scott, Vinylz, WondaGurl, Yung Exclusive"
11,September 2 2016,Ward Thomas,Cartwheels,Country pop,Sony Music,"Jimmy Hogarth, Martin Terefe"
12,September 2 2016,Wretch 32,Growing Over Life,Hip hop,Polydor,
13,September 2 2016,Zomby,Ultra,,Hyperdub,
14,September 9 2016,Bastille,Wild World,Indie pop,"Virgin EMI, Virgin, Universal Music Group","Dan Smith, Mark Crew"
15,September 9 2016,Bear Mountain,Badu,,Last Gang,
16,September 9 2016,clipping.,Splendor & Misery,Experimental hip hop,Sub Pop,"William Hutson, Jonathan Snipes"
17,September 9 2016,The Dear Hunter,Act V: Hymns with the Devil in Confessional,"Progressive rock, indie rock",Equal Vision,Casey Crescenzo
18,September 9 2016,Devin Townsend Project,Transcendence,"Progressive metal, symphonic metal, progressive rock",HevyDevy Records,"Adam ""Nolly"" Getgood, Devin Townsend"
19,September 9 2016,Diorama,Zero Soldier Army,Synth-pop,,
20,September 9 2016,Fences,To the Tall Trembling Trees,Alternative,,
