,Release date,Artist,Album,Genre,Label,Producer
0,June 1 2015,BIGBANG,A,"Dance-pop, trap, acoustic",YG Entertainment,"G-Dragon, Teddy Park"
1,June 1 2015,The Darkness,Last of Our Kind,Hard rock,Canary Dwarf,Dan Hawkins
2,June 1 2015,Florence + The Machine,"How Big, How Blue, How Beautiful","Indie rock, art rock, baroque pop, blues, psychedelic rock",Island,"Brett Shaw, Charlie Hugall, Dan Wilson, Isabella Summers, James Ford, John Hill, Kid Harpoon, Markus Dravs, Paul Epworth,"
3,June 1 2015,Heather Nova,The Way It Feels,"Alternative rock, indie rock",Embassy of Music under exclusive license from Saltwater Limited,Heather Nova
4,June 1 2015,Jaga Jazzist,Starfire,"Electronic, jazz",Ninja Tune,Lars Horntveth
5,June 1 2015,Major Lazer,Peace Is the Mission,"EDM, dancehall",Mad Decent,"Boaz van de Beatz, DJ Snake, Djemba Djemba, Jr Blender, Major Lazer, Picard Brothers"
6,June 1 2015,Paradise Lost,The Plague Within,"Doom metal, death/doom, gothic metal",Century Media,Jaime Gomez Arellano
7,June 2 2015,Four Year Strong,Four Year Strong,Pop punk,Pure Noise,Kurt Ballou
8,June 2 2015,Jason Derulo,Everything Is 4,"Dance-pop, R&B","Beluga Heights, Atlantic","Jason Derulo, Ian Kirkpatrick, Charlie Puth, Ricky Reed, The Monsters and the Strangerz, Cook Classics, Mr. Collipark, Hitmaka, Foreign Teck, Dreamstate,Johan Carlsson, Matoma, Mag, Pop & Oak, The Starr Island Group, Danja, Heston Valley, Sonny Alves"
9,June 2 2015,Suburban Legends,Forever In the FriendZone,,,
10,June 2 2015,Sun Kil Moon,Universal Themes,"Folk rock, indie folk, indie rock",Caldo Verde,Mark Kozelek
11,June 2 2015,Zella Day,Kicker,"Indie pop, pop","Pinetop, Hollywood","Wally Gagel, Xandy Barry"
12,June 3 2015,House of Lords,Indestructible,Heavy metal,Frontiers,James Christian
13,June 3 2015,Måns Zelmerlöw,Perfectly Damaged,Pop,Warner Music Sweden,"Michael Angelo, Winterlude, Anton Malmberg Hård af Segerstad, Joy Deb, Fredrik Sonefors, Martin Bjelke"
14,June 6 2015,Pseudo Echo,Live at the Viper Room,"Synthpop, electronic",Brian Canham,
15,June 6 2015,Young Guns,Ones and Zeros,Alternative rock,Virgin EMI,Steve Osborne
16,June 8 2015,FFS,FFS,"Indie rock, art rock, dance-rock, electropop",Domino,John Congleton
17,June 8 2015,Galantis,Pharmacy,"Electro house, dance-pop, progressive house, big room house","Big Beat, Atlantic","Christian Karlsson, Linus Eklöw"
18,June 8 2015,Muse,Drones,"Alternative rock, hard rock, progressive rock","Warner Bros., Helium-3","Robert John ""Mutt"" Lange, Muse"
19,June 9 2015,honeyhoney,3,"Americana, indie rock, country",Rounder,Dave Cobb
20,June 9 2015,Montgomery Gentry,Folks Like Us,Country,,Michael Knox
21,June 9 2015,Of Monsters and Men,Beneath the Skin,"Indie pop, indie folk",Republic,"Of Monsters and Men, Rich Costey"
22,June 9 2015,Tamia,Love Life,"R&B, pop",Def Jam,"Pop & Oak, Lil Ronnie, Brandon ""B.A.M."" Alexander, Godz of Analog, Chuck Harmony, Polow da Don, The Stereotypes, Johnny BLK, Shep Crawford, Outer Earth"
23,June 9 2015,Tremonti,Cauterize,"Heavy metal, post-grunge",FRET12,"Michael ""Elvis"" Baskette"
24,June 12 2015,Adam Lambert,The Original High,Pop,Warner Bros.,"Ali Payami, Axident, Blood Diamonds, Fredrik Samsson, Ilya Salmanzadeh, Jarly, Lukas Hilbert, Mattman & Robin, Max Martin, Oscar Holter, OzGo, Peter Carlsson, SeventyEight, Shellback, Style of Eye, Svidden, T. Karlsson, Tritonal"
25,June 12 2015,Burning Point,Burning Point,Power metal,AFM,
26,June 12 2015,Giorgio Moroder,Déjà Vu,"Disco, pop, EDM",RCA,"Giorgio Moroder, Roman Lüth, Raney Shockne, Sikow, Patrick Jordan-Patrikios, Jeeve, Michael Smidi Smith, Joakim Åhlund, Emily Wright"
27,June 12 2015,Savage Garden,The Singles,Pop,"JWM, Universal","Charles Fisher, Chris Lord-Alge, Daniel Jones, Darren Hayes, Mike Pela, Oliver Jones, Walter Afanasieff"
28,June 15 2015,James Taylor,Before This World,"Adult contemporary, soft rock, folk",Concord,Dave O'Donnell
29,June 15 2015,MIKA,No Place in Heaven,Pop,Casablanca,"David Sneddon, Greg Wells, Gustave Rudman, James Baeur-Mein, Klas Åhlund, Martin Terefe, MIKA, Starsmith, Tim Van der Kuil"
30,June 15 2015,Sarah Cracknell,Red Kite,"Pop, baroque pop",Cherry Red,"Carwyn Ellis, Seb Lewsley, Mason Neely"
31,June 16 2015,Active Child,Mercy,"Dream pop, indie pop, ambient",Vagrant,
32,June 16 2015,Hilary Duff,Breathe In. Breathe Out.,"Pop, dance-pop",RCA,"Michael Angelo, Bloodshy, Matthew Koma, Svidden, Peter Thomas, Christopher J. Baran, Jerrod Bettis, Dan Book, Carl Falk, Toby Gad, Jason Gill, Jake Gosling, Oscar Holter, Ilya Salmanzadeh, KDrew, Ian Kirkpatrick, Kristian Lundin, Christian Medice, OzGo, Emily Wright"
33,June 16 2015,Hudson Mohawke,Lantern,Electronic,Warp,Hudson Mohawke
34,June 16 2015,Lenka,The Bright Side,"Indie pop, pop","Sony Music, Hickory, Skipalong Records",Lenka
35,June 16 2015,mewithoutYou,Pale Horses,"Indie rock, alternative rock","Run for Cover, Big Scary Monsters, Cooking Vinyl",Will Yip
36,June 16 2015,Nate Ruess,Grand Romantic,Indie pop,Fueled by Ramen,Jeff Bhasker
