,Release date,Artist,Album,Genre,Label,Producer
0,May 1 2017,Triple H,199X,K-pop,Cube Entertainment,"Big Sancho, BreadBeat, Devine Channel, Kang Dongha, Seo Jaewoo, Shinkung, Son Youngjin, Wonderkid"
1,May 3 2017,Nana Kitade,Violet Blaze,"Pop, dance",FABTONE Inc.,Robert de Boron
2,May 5 2017,The Afghan Whigs,In Spades,Alternative rock,Sub Pop,Greg Dulli
3,May 5 2017,Alma,Ma peau aime,Pop,Warner Music Group,Nazim Khaled
4,May 5 2017,Andrew Rayel,Moments,,Armada,
5,May 5 2017,Anja Nissen,Where I Am,Pop,Universal Music Australia,MSquared Productions
6,May 5 2017,Arve Henriksen,Towards Language,Jazz,Rune Grammofon,"Jan Bang, Arve Henriksen"
7,May 5 2017,At the Drive-In,in•ter a•li•a,Post-hardcore,Rise,"Omar Rodríguez-López, Rich Costey"
8,May 5 2017,Big Walnuts Yonder,Big Walnuts Yonder,,Sargent House,Tony Maimone
9,May 5 2017,Blondie,Pollinator,"Alternative rock, new wave, post-punk revival",BMG,John Congleton
10,May 5 2017,Brother Ali,All the Beauty in This Whole Life,Hip hop,Rhymesayers Entertainment,Ant
11,May 5 2017,Café Tacuba,Jei Beibi,"Rock, post-punk",,Gustavo Santaolalla
12,May 5 2017,Carl Craig,Versus,,InFiné,
13,May 5 2017,Chris Stapleton,From A Room: Volume 1,Country,Mercury Nashville,"Dave Cobb, Chris Stapleton"
14,May 5 2017,Colt Ford,Love Hope Faith,Country rap,Average Joes Entertainment,"Noah Gordon, Shannon ""Fat Shan"" Houchins"
15,May 5 2017,Day Wave,The Days We Had,,,
16,May 5 2017,Diana Krall,Turn Up the Quiet,Jazz,Verve,"Tommy LiPuma, Diana Krall"
17,May 5 2017,Faust,Fresh Air,Krautrock,,
18,May 5 2017,Forest Swords,Compassion,"Experimental, electronic",Ninja Tune,Matthew Barnes
19,May 5 2017,Grateful Dead,May 1977: Get Shown the Light,Rock,Rhino,Grateful Dead
20,May 5 2017,Johannes Oerding,Kreise,"Pop, pop rock",Columbia,
21,May 5 2017,Juana Molina,Halo,Folktronica,Crammed Discs,"Juana Molina, Odín Schwartz"
22,May 5 2017,Kasabian,For Crying Out Loud,"Electronic rock, electronica, neo-psychedelia, space rock","Columbia, Sony Music",
23,May 5 2017,Kid Ink,7 Series,"Hip hop, trap","Tha Alumni Music Group, 88 Classic, RCA","A1 Bentley, Akeel Henry, Cubeatz, Darnell GotIt, Dez Wright, DJ Mustard, Dre Moon, DZL, Free School, Hitmaka, ISM Beats, J-Holt, Joe Logic, Murda Beatz, OZ, RetroFuture"
24,May 5 2017,Logic,Everybody,Hip hop,"Visionary Music Group, Def Jam","6ix, Bobby Campbell, C-Sick, Deats, DJ Khalil, Logic, No I.D., PSTMN, Vontae Thomas, Wallis Lane"
25,May 5 2017,Mac DeMarco,This Old Dog,"Indie rock, psychedelic rock",Captured Tracks,Mac DeMarco
26,May 5 2017,Mary Lambert,Bold,Pop,ML Sings,"Mary Lambert, Michelle Chamuel, Tobias Karlsson, Toby Gad"
27,May 5 2017,Natalia Lafourcade and Los Macorinos,Musas,Folk,"RCA, Sony Music","Cachorro López, Leonel García, Natalia Lafourcade"
28,May 5 2017,Ozomatli,Non-Stop: Mexico → Jamaica,Reggae,Cleopatra,Sly and Robbie
29,May 5 2017,Perfume Genius,No Shape,"Art pop, chamber pop",Matador,Blake Mills
30,May 5 2017,Pond,The Weather,"Psychedelic rock, neo-psychedelia",Marathon Artists,Kevin Parker
