,Release date,Artist,Album,Genre,Label,Producer
0,September 1 2017,Anthony Callea,ARIA Number 1 Hits in Symphony,Pop,Sony Music Australia,John Foreman
1,September 1 2017,Ellen Andrea Wang,Blank Out,Jazz,Jazzland,
2,September 1 2017,Hercules and Love Affair,Omnion,,Atlantic,
3,September 1 2017,The Knife,Live at Terminal 5,,Rabid,
4,September 1 2017,LCD Soundsystem,American Dream,"Dance-punk, new wave, post-punk, synth-pop, art rock","DFA, Columbia",James Murphy
5,September 1 2017,Madeline Kenney,Night Night at the First Landing,Indie rock,Company Records,Chaz Bear
6,September 1 2017,Mogwai,Every Country's Sun,Post-rock,Rock Action,Dave Fridmann
7,September 1 2017,Orchestral Manoeuvres in the Dark,The Punishment of Luxury,Synth-pop,White Noise,Orchestral Manoeuvres in the Dark
8,September 1 2017,Paradise Lost,Medusa,Doom metal,Nuclear Blast,"Jaime Gomez Arellano, Paradise Lost"
9,September 1 2017,The Script,Freedom Child,"Pop rock, dance","Columbia, Sony","Jimbo, Max Farrar, Mark Sheehan, Daniel O'Donoghue"
10,September 8 2017,Alter Bridge,Live at the O2 Arena + Rarities,"Hard rock, heavy metal, post-grunge, alternative metal",Napalm,
11,September 8 2017,Anna of the North,Lovers,Synth-pop,,
12,September 8 2017,Arch Enemy,Will to Power,Melodic death metal,Century Media,"Michael Amott, Daniel Erlandsson"
13,September 8 2017,Jack Johnson,All the Light Above It Too,,"Brushfire, Republic",Robbie Lackritz
14,September 8 2017,Kip Moore,Slowheart,Country,MCA Nashville,"David Garcia, Kip Moore"
15,September 8 2017,Living Colour,Shade,,Megaforce,Andre Betts
16,September 8 2017,Odesza,A Moment Apart,"Indie electronic, synth-pop, experimental","Counter, Foreign Family Collective, Ninja Tune","Harrison Mills, Clayton Knight"
17,September 8 2017,Project Pat,M.O.B.,,,
18,September 8 2017,The National,Sleep Well Beast,"Indie rock, post-punk revival",4AD,"Aaron Dessner, Bryce Dessner, Matt Berninger"
19,September 8 2017,Nothing but Thieves,Broken Machine,Alternative rock,"RCA, Sony Music",Mike Crossey
20,September 8 2017,Sparks,Hippopotamus,,BMG,"Ron Mael, Russell Mael"
21,September 8 2017,Susanne Sundfør,Music for People in Trouble,,Bella Union,Jørgen Træen
22,September 8 2017,Syd,Always Never Home,R&B,Columbia,"Anonxmous, Full Crate, Gwen Bunn, Jameel ""Kintaro"" Bruner, Ricci Riera"
23,September 8 2017,Thomas Rhett,Life Changes,Country pop,Valory,"Thomas Rhett, Dann Huff, Jesse Frasure, Julian Bunetta, Joe London"
24,September 8 2017,Tori Amos,Native Invader,,Decca,Tori Amos
25,September 8 2017,Trickfinger,Trickfinger II,"Acid house, IDM, electro",AcidTest,Trickfinger
26,September 8 2017,Zola Jesus,Okovi,"Gothic rock, dark wave",Sacred Bones,"Zola Jesus, Alex DeGroot, James Kelly"
27,September 15 2017,Anastacia,Evolution,"Pop, pop rock","Four Eyez Productions, Polydor","Anders Bagge, Yei Gonzalez"
28,September 15 2017,Angus & Julia Stone,Snow,,"EMI Music Australia, Nettwerk",
29,September 15 2017,Arcane Roots,Melancholia Hymns,"Alternative rock, post-hardcore, metalcore, electronica","Easy Life Records, Red Essential Records",
30,September 15 2017,Ariel Pink,Dedicated to Bobby Jameson,,Mexican Summer,
31,September 15 2017,Benjamin Clementine,I Tell a Fly,"Progressive rock, avant-garde, experimental pop, contemporary classical",Virgin EMI,Benjamin Clementine
32,September 15 2017,Eamon,Golden Rail Motel,"R&B, soul, pop",Huey Ave Music,"Eamon, Stoupe, Snipe Young, Dan Ubick"
33,September 15 2017,Foo Fighters,Concrete and Gold,Rock,"Roswell Records, RCA",Greg Kurstin
34,September 15 2017,Galantis,The Aviary,EDM,"Big Beat, Atlantic","Galantis, Svidden, Henrik Jonback, Hook n Sling, Digital Farm Animals, Andrew Bullimore, Ki Fitzgerald, Joshua Wilkinson, Toby Gad, AHSHeeN, Josh Cumbee, Poo Bear, Throttle, Ricky Reed"
35,September 15 2017,Hightower,Club Dragon,Rock,Krod,Steve Evetts
36,September 15 2017,Madonna,Rebel Heart Tour,,"Boy Toy, Live Nation, Interscope","Danny Tull, Nathan Rissman"
37,September 15 2017,Prophets of Rage,Prophets of Rage,,Fantasy,
38,September 15 2017,Rebecca Black,RE / BL,,,
39,September 15 2017,Ringo Starr,Give More Love,,UMe,Ringo Starr
40,September 15 2017,Seaway,Vacation,,Pure Noise,
41,September 15 2017,Seth MacFarlane,In Full Swing,"Traditional pop, vocal jazz, swing, big band","Republic, Verve, Fuzzy Door Productions","Joel McNeely, Seth MacFarlane"
42,September 15 2017,The Cool Kids,Special Edition Grand Master Deluxe,,Green Label Sound,
43,September 15 2017,Wyclef Jean,Carnival III: The Fall and Rise of a Refugee,Hip hop,Heads Music,"The Knocks, Supah Mario"
44,September 21 2017,Illenium,Awake,Future bass,"Seeking Blue, Kasaya","Nick Miller, Trevor Christensen, Dan Griffith, RUNN"
45,September 22 2017,L'Aura,Il contrario dell'amore,,,
46,September 22 2017,Chelsea Wolfe,Hiss Spun,"Doom metal, gothic rock",Sargent House,Kurt Ballou
47,September 22 2017,The Clientele,Music for the Age of Miracles,Indie rock,Merge,
48,September 22 2017,Cradle of Filth,Cryptoriana – The Seductiveness of Decay,Extreme metal,Nuclear Blast,Scott Atkins
49,September 22 2017,Cut Copy,Haiku from Zero,,"Cutters, Astralwerks",
50,September 22 2017,Enter Shikari,The Spark,Electronic rock,"Ambush Reality, PIAS Recordings","David Kosten, Rou Reynolds"
